,video_id,definition,categoryID,likes_to_views,duration_to_views,captioning,dislikes_to_views,title_length,subscriber_count,descrp_length,publish_month,numVides_on_Channel,popularity,likes_to_dislikes,views_to_subscribers,views_to_daysActive
240,aHjpOzsQ9YI,1,10,0.011229819,3.96575e-06,0,0.000183985,61,8129304,1998,2,77,1,61.04573269,0.053826258,95299.37077
241,vkG7FGVWsLA,1,25,0.003786538,7.3191e-06,0,3.95232e-05,25,443,70,1,10,1,95.90740741,0.000162375,1163.582128
242,bmTxB5nXlzk,0,23,0.002814481,4.77419e-05,0,6.14916e-05,17,261,260,2,5,1,45.76397516,9.9679e-05,1648.869018
243,kWBOWbAzfuM,0,1,0.002462834,0.000150326,0,0.000107107,38,1380,460,9,37,1,22.98830409,0.000867129,751.6348235
244,vJTXLuu7_0Y,0,23,0.00235112,2.61769e-05,0,0.000121772,19,1539,22,3,42,1,19.30884354,0.000254899,3860.415601
245,bG8Y4BUKF3I,0,23,0.003189434,0.000179182,0,0.00031966,19,620,192,6,48,1,9.977578475,0.000888097,271.9602649
246,A_mm_hOPNJg,0,2,0.003303027,3.08636e-05,1,4.25918e-05,29,72,97,4,29,1,77.55072464,4.44374e-05,1058.298498
247,QH2-TGUlwu4,0,23,0.008893557,2.92458e-06,0,0.000589366,19,78102,399,4,67,1,15.10507486,0.000576417,70932.79406
248,Cyrbyy1TRwg,0,22,0.003234994,4.10844e-05,0,0.000127135,26,569684,902,1,889,1,25.40253165,0.184400054,1891.914373
249,uJtWztnrmZg,0,22,0.015330304,0.000244881,0,0.000911294,15,1011175,13,1,174,1,16.82564103,0.950607927,450.7287279
250,3GRSbr0EYYU,0,24,0.00499573,3.20602e-06,0,0.000117804,46,2144,312,11,4,1,42.35141373,0.000146175,8660.309552
251,OQSNhk5ICTI,0,22,0.004900773,9.02443e-06,1,0.000194095,43,43654,293,1,2690,1,25.26878647,0.00100872,18260.18228
252,Y6a4T2tJaSU,0,1,0.002509226,0.000143763,0,0.000552912,22,1863,857,10,66,1,4.536334913,0.000271325,3291.608341
253,pTUtETu09oQ,1,22,0.014581065,0.000120918,0,0.003640434,71,39702,1052,8,47,1,4.007486049,0.019651572,798.8397309
254,GQge_Yn-SLM,0,24,0.011653258,2.17763e-05,0,0.000336609,29,784,28,3,26,1,34.58817087,0.000288943,1399.008776
255,yzytYXzFK7c,0,23,0.01016163,4.43663e-05,0,0.000139736,37,4395,251,8,14,1,72.59351621,0.001534406,1132.772547
256,0y59IJAVUqA,1,24,0.000716371,0.000228498,0,6.33e-05,35,263,72,3,147,1,11.31707317,0.000404487,242.4154192
257,UPlX3qF_7Xo,0,15,0.003302421,3.64707e-05,0,0.000124,36,1288,33,8,23,1,26.63970588,0.00118153,509.9409577
258,RA3_Ty3U29I,0,22,0.004011701,8.5286e-06,0,7.07372e-05,39,250,331,2,20,1,56.74113475,6.26913e-05,2490.814491
259,xyXplN23ALM,1,23,0.003800323,4.03822e-06,0,0.000486605,32,19575,1123,10,151,1,7.811379464,0.00140921,10251.42646
