,video_id,captioning,categoryID,definition,descrp_length,dislikes_to_views,duration_to_views,likes_to_dislikes,likes_to_views,numVides_on_Channel,popularity,publish_month,subscriber_count,title_length,views_to_daysActive,views_to_subscribers
1009,s90Ifpcb4_4,1,24,1,235,0.00286640079761,0.0114967597208,11.3695652174,0.0325897308076,3,0,7,5371,54,17.8608792432,0.167237727386
1010,sCVrvZz4Ovo,0,10,0,26,0.0271739130435,0.934782608696,0.4,0.0108695652174,40,0,12,101,22,0.0671778021176,0.548913043478
1011,sKw3MVxKphc,0,25,0,2926,0.00123395853899,0.038005923001,11.9,0.014684106614,1487,0,3,15611,85,8.41536863967,0.963477080634
1012,sNw-lzYaerw,0,1,0,308,0.000407664084794,0.00683969742266,28.3333333333,0.0115504824025,5,0,12,74,50,7.09643201543,0.00335144927536
1013,sPq0fiqXeBs,0,1,1,290,0.000551267916207,0.0702866593164,2.5,0.00137816979052,24,0,10,461,38,1.75265700483,0.127067254686
1014,sTY83G-UN_w,0,22,0,734,0.00303951367781,0.445288753799,7.0,0.0212765957447,2496,0,11,2569,63,0.502290076336,3.9103343465
1015,sVa7phW0Zmo,0,24,0,13,0.000277126949336,0.00335071675106,3.63636363636,0.00100773436122,40,0,7,101,22,18.3424214418,0.00253851760625
1016,sWuNA8G0jbM,0,1,1,705,0.000722238940716,0.0235931387301,4.91666666667,0.00355100812519,126,0,2,300,47,10.4431175361,0.0181161600963
1017,sX30R6BCs10,0,20,1,1737,0.000188288457917,0.0299378648089,39.0,0.00734324985878,4323,0,7,280908,47,2.96372767857,52.897194502
1018,sZGSL6cT60o,0,22,0,1,0.0116959064327,0.923976608187,0.0,0.0,4,0,9,0,42,0.0802816901408,0.0
1019,sZeMlQyWEo8,0,1,0,465,0.000935453695042,0.112488306829,20.0,0.0187090739008,59,0,11,115,52,2.087890625,0.0268127768711
1020,sbWDOVMZrEU,0,24,0,2474,0.000292948315547,0.0085792006696,28.3571428571,0.00830717723373,64,0,1,652,65,29.2830882353,0.0136078595318
1021,sbnOgvgwDbc,0,10,0,120,0.00318708609272,0.0250413907285,2.01298701299,0.00641556291391,341,0,1,47397,28,14.8129981606,1.98129448767
1022,sfknyCG9sR8,0,10,1,823,0.000919963201471,0.118061944189,22.3333333333,0.0205458448329,1,0,7,18,26,2.25831024931,0.00551639595464
1023,sgQx_286inM,0,10,0,1673,0.000145390045143,0.0020209216275,14.35,0.00208634714781,28,0,4,1097,62,60.626267078,0.0079743541282
1024,sh7Fi62F9gw,0,10,1,259,0.0025466893039,0.154499151104,4.33333333333,0.0110356536503,12,0,10,184,68,1.73746312684,0.0780984719864
